id_paper,id_data,species,order,sex,genital/non-genital,organ/structure,morphological_measurement,environmental_condition,plasticity/robustness,author,title,year,journal,doi
345,150,Drosophila gouveai,Diptera,male,genital,aedeagus ,shape,host identity,plasticity,Soto; I. M. and Manfrin; M. H. and Hasson; E.,"Host-dependent phenotypic plasticity of aedeagus morphology in a pair of cactophilic sibling <i>Drosophila</i> species of the <i>repleta</i> group (Diptera, Drosophilidae)",2008,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,10.1111/j.1439-0469.2008.00467.x
345,151,Drosophila antonietae,Diptera,male,genital,aedeagus ,size,host identity,plasticity,Soto; I. M. and Manfrin; M. H. and Hasson; E.,"Host-dependent phenotypic plasticity of aedeagus morphology in a pair of cactophilic sibling <i>Drosophila</i> species of the <i>repleta</i> group (Diptera, Drosophilidae)",2008,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,10.1111/j.1439-0469.2008.00467.x
345,152,Drosophila antonietae,Diptera,male,genital,aedeagus ,shape,host identity,plasticity,Soto; I. M. and Manfrin; M. H. and Hasson; E.,"Host-dependent phenotypic plasticity of aedeagus morphology in a pair of cactophilic sibling <i>Drosophila</i> species of the <i>repleta</i> group (Diptera, Drosophilidae)",2008,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,10.1111/j.1439-0469.2008.00467.x
347,153,Diachasma alloeum,Hymenoptera,female,genital,ovipositor ,size,host identity,plasticity,Hamerlinck; Gabriela and Lemoine; Nathan P. and Hood; Glen R. and Abbott; Karen C. and Forbes; Andrew A.,Meek mothers with powerful daughters: effects of novel host environments and small trait differences on parasitoid competition,2016,OIKOS,10.1111/oik.02701
350,154,Drosophila gouveai,Diptera,male,genital,aedeagus ,size,host identity,plasticity,Soto; I. M. and Soto; E. M. and Corio; C. and Carreira; V. P. and Manfrin; M. and Hasson; E.,Male Genital and Wing Morphology in the Cactophilic Sibling Species <i>Drosophila gouveai</i> and <i>Drosophila antonietae</i> and Their Hybrids Reared in Different Host Plants,2010,ENVIRONMENTAL ENTOMOLOGY,10.1603/EN09300
350,155,Drosophila gouveai,Diptera,male,genital,aedeagus ,shape,host identity,plasticity,Soto; I. M. and Soto; E. M. and Corio; C. and Carreira; V. P. and Manfrin; M. and Hasson; E.,Male Genital and Wing Morphology in the Cactophilic Sibling Species <i>Drosophila gouveai</i> and <i>Drosophila antonietae</i> and Their Hybrids Reared in Different Host Plants,2010,ENVIRONMENTAL ENTOMOLOGY,10.1603/EN09300
350,156,Drosophila antonietae,Diptera,male,genital,aedeagus ,size,host identity,plasticity,Soto; I. M. and Soto; E. M. and Corio; C. and Carreira; V. P. and Manfrin; M. and Hasson; E.,Male Genital and Wing Morphology in the Cactophilic Sibling Species <i>Drosophila gouveai</i> and <i>Drosophila antonietae</i> and Their Hybrids Reared in Different Host Plants,2010,ENVIRONMENTAL ENTOMOLOGY,10.1603/EN09300
350,157,Drosophila antonietae,Diptera,male,genital,aedeagus ,shape,host identity,plasticity,Soto; I. M. and Soto; E. M. and Corio; C. and Carreira; V. P. and Manfrin; M. and Hasson; E.,Male Genital and Wing Morphology in the Cactophilic Sibling Species <i>Drosophila gouveai</i> and <i>Drosophila antonietae</i> and Their Hybrids Reared in Different Host Plants,2010,ENVIRONMENTAL ENTOMOLOGY,10.1603/EN09300
353,158,Callosobruchus maculatus,Coleoptera,female,genital,bursa copulatrix,size,temperature,plasticity,Farrow; Rachel A. and Deeming; D. Charles and Eady; Paul E.,Male and female developmental temperature modulate post-copulatory interactions in a beetle,2022,JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2021.103155
358,159,Callosobruchus maculatus,Coleoptera,male,non-genital,testicle,size ,temperature,plasticity,Vasudeva; R. and Deeming; D. C. and Eady; P. E.,Age-specific sensitivity of sperm length and testes size to developmental temperature in the bruchid beetle,2021,JOURNAL OF ZOOLOGY,10.1111/jzo.12884
359,160,Hypolimnas bolina,Lepidoptera,female,non-genital,ovary ,developmental rate,photoperiod ,plasticity,Kemp; DJ,The basis of life-history plasticity in the tropical butterfly <i>Hypolimnas</i> <i>bolina</i> (L.) (Lepidoptera: Nymphalidae),2000,AUSTRALIAN JOURNAL OF ZOOLOGY,10.1071/ZO99062
360,161,Zootermopsis angusticollis,Blattodea,female,non-genital,ovary ,size ,caste,plasticity,Brent; Colin S. and Traniello; James F. A. and Varco; Edward I.,Benefits and costs of secondary polygyny in the dampwood termite <i>Zootermopsis angusticollis</i>,2008,ENVIRONMENTAL ENTOMOLOGY,10.1603/0046-225X(2008)37{[}883:BACOSP]2.0.CO;2
366,162,Callosobruchus maculatus,Coleoptera,male,non-genital,testicle,size ,temperature,plasticity,Vasudeva; R. and Deeming; D. C. and Eady; P. E.,Developmental temperature affects the expression of ejaculatory traits and the outcome of sperm competition in Callosobruchus maculatus,2014,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12431
371,163,Apis mellifera,Hymenoptera,female,non-genital,ovary ,developmental rate,caste,plasticity,Malka; Osnat and Shnieor; Shiri and Hefetz; Abraham and Katzav-Gozansky; Tamar,Reversible royalty in worker honeybees (<i>Apis mellifera</i>) under the queen influence,2007,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-006-0274-1
